Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_31_649.jpg;-14.99152;1;0;0.2830628;99.72515;85.66035;1.30002;55.73967;0.001872914
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_31_715.jpg;-13.49435;1;0;0.336724;99.7389;85.67587;1.270057;55.37356;-0.0003662521
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_31_782.jpg;-10.50795;1;0;0.4062476;99.7537;85.69307;1.148967;55.07984;0.0008560536
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_31_850.jpg;-7.566456;1;0;0.4670093;99.77706;85.72171;1.093917;54.77591;0.001339361
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_31_915.jpg;-4.520982;1;0;0.5096143;99.79688;85.74711;1.120696;54.56323;0.001627444
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_31_982.jpg;-1.498103;1;0;0.5653607;99.81826;85.77547;1.183166;54.43904;0.000192994
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_049.jpg;0;1;0;0.6241012;99.84834;85.81689;1.239108;54.3527;-0.001149235
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_116.jpg;3.009368;1;0;0.6761597;99.87199;85.85054;1.22755;54.3756;-0.001531755
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_182.jpg;2.970222;1;0;0.7376389;99.89658;85.88673;1.196878;54.61623;-0.002876964
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_249.jpg;0.0311828;1;0;0.7997102;99.93339;85.93936;1.20865;54.71951;-0.001111594
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_315.jpg;0;1;0;0.8429875;99.96353;85.98166;1.226274;54.71584;-0.0009866547
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_381.jpg;0;1;0;0.9106331;99.99557;86.02657;1.239434;54.71209;-0.0009228783
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_448.jpg;0;1;0;0.9660372;100.0406;86.08961;1.22525;54.70158;-0.0008868467
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_515.jpg;0;1;0;1.008555;100.0761;86.13947;1.2143;54.69623;-0.0004241806
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_582.jpg;0;1;0;1.073798;100.1137;86.19204;1.221571;54.68805;-0.0008375821
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_649.jpg;0;1;0;1.121889;100.1662;86.26553;1.219639;54.68645;-0.001044775
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_715.jpg;0;1;0;1.168508;100.2074;86.32333;1.224517;54.64289;-0.0006653749
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_781.jpg;0;1;0;1.22932;100.2504;86.38336;1.230917;54.60577;-0.0006487241
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_848.jpg;0;1;0;1.273371;100.3102;86.4669;1.234746;54.57226;-0.0007600617
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_915.jpg;0;1;0;1.321733;100.357;86.53225;1.238409;54.54902;-0.000824591
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_32_980.jpg;0;1;0;1.38667;100.4056;86.59987;1.241566;54.52964;-0.0008650759
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_049.jpg;0;1;0;1.433708;100.4729;86.69361;1.247469;54.50672;-0.0008850928
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_115.jpg;0;1;0;1.479594;100.5253;86.76655;1.251073;54.4948;-0.0009135687
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_181.jpg;0;1;0;1.542849;100.5794;86.84177;1.255179;54.48404;-0.0009657163
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_248.jpg;0;1;0;1.589397;100.6541;86.94557;1.26075;54.46926;-0.001002359
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_315.jpg;1.500195;1;0;1.634823;100.7118;87.02625;1.26544;54.52485;-0.001522676
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_382.jpg;4.498398;1;0;1.695693;100.7698;87.10989;1.265676;54.81315;-0.002876718
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_448.jpg;7.510647;1;0;1.740089;100.8463;87.22694;1.262258;55.68254;0.01526755
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_514.jpg;7.473082;1;0;1.784261;100.9033;87.31859;1.255229;56.55457;0.03447677
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_581.jpg;4.497296;1;0;1.84531;100.9614;87.4127;1.249167;57.26051;0.0218357
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_648.jpg;1.485547;1;0;1.891454;101.0419;87.54218;1.276606;57.74312;-0.003682733
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_714.jpg;0;1;0;1.934771;101.1042;87.64156;1.292018;57.82053;-0.002028655
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_781.jpg;0;1;0;1.996089;101.1683;87.74288;1.297552;57.82236;-0.001243146
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_848.jpg;0;1;0;2.040962;101.2562;87.88133;1.300388;57.81141;-0.001176029
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_915.jpg;0;1;0;2.085677;101.3238;87.98783;1.304939;57.79903;-0.001178513
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_33_981.jpg;0;1;0;2.144169;101.3929;88.09655;1.308485;57.78862;-0.001184146
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_047.jpg;0;1;0;2.189097;101.4872;88.24494;1.311194;57.77374;-0.001201974
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_114.jpg;0;1;0;2.233343;101.5597;88.35886;1.315328;57.7618;-0.001221058
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_181.jpg;0;1;0;2.291213;101.6336;88.47495;1.316844;57.75111;-0.001222607
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_248.jpg;0;1;0;2.335632;101.7344;88.63322;1.322648;57.73516;-0.00126192
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_314.jpg;0;1;0;2.379113;101.8116;88.75445;1.326745;57.72532;-0.001291145
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_381.jpg;0;1;0;2.437186;101.8902;88.87785;1.327634;57.71231;-0.001281912
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_448.jpg;0;1;0;2.480335;101.9973;89.0458;1.333184;57.69686;-0.001315674
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_514.jpg;0;1;0;2.523355;102.0793;89.17431;1.339117;57.68559;-0.001345915
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_581.jpg;0;1;0;2.580041;102.1627;89.30487;1.337976;57.67461;-0.001324484
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_647.jpg;0;1;0;2.623508;102.276;89.48235;1.339827;57.65899;-0.0009052742
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_714.jpg;0;1;0;2.665736;102.3628;89.61804;1.348956;57.64439;-0.001373088
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_780.jpg;0;1;0;2.7223;102.4508;89.75578;1.352124;57.6335;-0.001407357
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_847.jpg;0;1;0;2.764862;102.5704;89.94266;1.350755;57.61661;-0.0009536633
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_915.jpg;0;1;0;2.806639;102.6618;90.08534;1.355908;57.60153;-0.001402075
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_34_981.jpg;0;1;0;2.862558;102.7545;90.2301;1.359019;57.58887;-0.00142687
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_047.jpg;0;1;0;2.904339;102.8802;90.42631;1.359767;57.57256;-0.00143832
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_113.jpg;0;1;0;2.945963;102.9762;90.57597;1.365475;57.55973;-0.00134206
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_181.jpg;0;1;0;3.000973;103.0735;90.72767;1.370124;57.54564;-0.001475823
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_247.jpg;0;1;0;3.042314;103.2054;90.93304;1.369949;57.5287;-0.001480386
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_314.jpg;0;1;0;3.083947;103.3059;91.08956;1.376081;57.51464;-0.001495976
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_381.jpg;0;1;0;3.137921;103.4078;91.24805;1.376511;57.50084;-0.001512309
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_447.jpg;0;1;0;3.178495;103.5458;91.4626;1.383219;57.48143;-0.001529714
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_513.jpg;0;1;0;3.21926;103.6508;91.62585;1.385023;57.46872;-0.001087865
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_581.jpg;0;1;0;3.273083;103.7572;91.79108;1.3868;57.45238;-0.001550854
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_647.jpg;0;1;0;3.313218;103.9012;92.01456;1.392838;57.43177;-0.001576238
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_713.jpg;0;1;0;3.353546;104.0108;92.18449;1.395829;57.41693;-0.001475732
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_780.jpg;0;1;0;3.406791;104.1217;92.3564;1.398028;57.40222;-0.001134042
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_846.jpg;-1.515804;1;0;3.446492;104.272;92.58849;1.403724;57.30824;-0.001142025
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_914.jpg;-4.462949;1;0;3.485864;104.3878;92.76369;1.402615;56.91431;-0.0001307466
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_35_979.jpg;-7.464655;1;0;3.537837;104.5072;92.93907;1.392247;56.14879;0.00120463
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_048.jpg;-10.46853;1;0;3.574044;104.6744;93.17079;1.345893;54.46008;359.9265
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_114.jpg;-13.47987;1;0;3.609276;104.806;93.34083;1.218866;52.6645;359.8168
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_180.jpg;-15;1;0;3.653603;104.9445;93.50598;1.009905;50.47976;359.632
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_247.jpg;-15;1;0;3.687262;105.139;93.7184;0.6063396;47.38147;359.3008
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_313.jpg;-13.49413;1;0;3.71968;105.2921;93.87198;0.2358055;45.12741;358.9987
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_379.jpg;-10.53559;1;0;3.763879;105.4507;94.02305;359.887;43.2224;358.737
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_446.jpg;-7.534865;1;0;3.789106;105.6713;94.22825;359.8156;41.49279;358.7111
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_512.jpg;-4.528804;1;0;3.805177;105.8438;94.38358;0.01284772;40.68007;358.8956
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_580.jpg;-1.534209;1;0;3.871298;106.0224;94.53745;0.2197589;40.01104;359.0988
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_646.jpg;0;1;0;3.908478;106.2653;94.74252;0.4941302;39.70807;359.3466
C:\cygwin64\home\hp\robond\RoboND-Rover-Project\data\IMG\robocam_2018_12_05_03_02_36_714.jpg;0;1;0;3.946107;106.4506;94.8973;0.7208499;39.65923;359.5168
